date_column,feature_1,feature_2
1/1/2011,0.344167,985
1/2/2011,0.363478,801
1/3/2011,0.196364,1349
1/4/2011,0.2,1562
1/5/2011,0.226957,1600
1/6/2011,0.204348,1606
1/7/2011,0.196522,1510
1/8/2011,0.165,959
1/9/2011,0.138333,822
1/10/2011,0.150833,1321
1/11/2011,0.169091,1263
1/12/2011,0.172727,1162
1/13/2011,0.165,1406
1/14/2011,0.16087,1421
1/15/2011,0.233333,1248
1/16/2011,0.231667,1204
1/17/2011,0.175833,1000
1/18/2011,0.216667,683
1/19/2011,0.292174,1650
1/20/2011,0.261667,1927
1/21/2011,0.1775,1543
1/22/2011,0.0591304,981
1/23/2011,0.0965217,986
1/24/2011,0.0973913,1416
1/25/2011,0.223478,1985
1/26/2011,0.2175,506
1/27/2011,0.195,431
1/28/2011,0.203478,1167
1/29/2011,0.196522,1098
1/30/2011,0.216522,1096
1/31/2011,0.180833,1501
2/1/2011,0.192174,1360
2/2/2011,0.26,1526
2/3/2011,0.186957,1550
2/4/2011,0.211304,1708
2/5/2011,0.233333,1005
2/6/2011,0.285833,1623
2/7/2011,0.271667,1712
2/8/2011,0.220833,1530
2/9/2011,0.134783,1605
2/10/2011,0.144348,1538
2/11/2011,0.189091,1746
2/12/2011,0.2225,1472
2/13/2011,0.316522,1589
2/14/2011,0.415,1913
2/15/2011,0.266087,1815
2/16/2011,0.318261,2115
2/17/2011,0.435833,2475
2/18/2011,0.521667,2927
2/19/2011,0.399167,1635
2/20/2011,0.285217,1812
2/21/2011,0.303333,1107
2/22/2011,0.182222,1450
2/23/2011,0.221739,1917
2/24/2011,0.295652,1807
2/25/2011,0.364348,1461
2/26/2011,0.2825,1969
2/27/2011,0.343478,2402
2/28/2011,0.407273,1446
3/1/2011,0.266667,1851
3/2/2011,0.335,2134
3/3/2011,0.198333,1685
3/4/2011,0.261667,1944
3/5/2011,0.384167,2077
3/6/2011,0.376522,605
3/7/2011,0.261739,1872
3/8/2011,0.2925,2133
3/9/2011,0.295833,1891
3/10/2011,0.389091,623
3/11/2011,0.316522,1977
3/12/2011,0.329167,2132
3/13/2011,0.384348,2417
3/14/2011,0.325217,2046
3/15/2011,0.317391,2056
3/16/2011,0.365217,2192
3/17/2011,0.415,2744
3/18/2011,0.54,3239
3/19/2011,0.4725,3117
3/20/2011,0.3325,2471
3/21/2011,0.430435,2077
3/22/2011,0.441667,2703
3/23/2011,0.346957,2121
3/24/2011,0.285,1865
3/25/2011,0.264167,2210
3/26/2011,0.265833,2496
3/27/2011,0.253043,1693
3/28/2011,0.264348,2028
3/29/2011,0.3025,2425
3/30/2011,0.3,1536
3/31/2011,0.268333,1685
4/1/2011,0.3,2227
4/2/2011,0.315,2252
4/3/2011,0.378333,3249
4/4/2011,0.573333,3115
4/5/2011,0.414167,1795
4/6/2011,0.390833,2808
4/7/2011,0.4375,3141
4/8/2011,0.335833,1471
4/9/2011,0.3425,2455
4/10/2011,0.426667,2895
4/11/2011,0.595652,3348
4/12/2011,0.5025,2034
4/13/2011,0.4125,2162
4/14/2011,0.4675,3267
4/15/2011,0.446667,3126
4/16/2011,0.430833,795
4/17/2011,0.456667,3744
4/18/2011,0.5125,3429
4/19/2011,0.505833,3204
4/20/2011,0.595,3944
4/21/2011,0.459167,4189
4/22/2011,0.336667,1683
4/23/2011,0.46,4036
4/24/2011,0.581667,4191
4/25/2011,0.606667,4073
4/26/2011,0.631667,4400
4/27/2011,0.62,3872
4/28/2011,0.6175,4058
4/29/2011,0.51,4595
4/30/2011,0.4725,5312
5/1/2011,0.451667,3351
5/2/2011,0.549167,4401
5/3/2011,0.616667,4451
5/4/2011,0.414167,2633
5/5/2011,0.459167,4433
5/6/2011,0.479167,4608
5/7/2011,0.52,4714
5/8/2011,0.528333,4333
5/9/2011,0.5325,4362
5/10/2011,0.5325,4803
5/11/2011,0.5425,4182
5/12/2011,0.535,4864
5/13/2011,0.5125,4105
5/14/2011,0.520833,3409
5/15/2011,0.5625,4553
5/16/2011,0.5775,3958
5/17/2011,0.561667,4123
5/18/2011,0.55,3855
5/19/2011,0.530833,4575
5/20/2011,0.536667,4917
5/21/2011,0.6025,5805
5/22/2011,0.604167,4660
5/23/2011,0.631667,4274
5/24/2011,0.66,4492
5/25/2011,0.660833,4978
5/26/2011,0.708333,4677
5/27/2011,0.681667,4679
5/28/2011,0.655833,4758
5/29/2011,0.6675,4788
5/30/2011,0.733333,4098
5/31/2011,0.775,3982
6/1/2011,0.764167,3974
6/2/2011,0.715,4968
6/3/2011,0.62,5312
6/4/2011,0.635,5342
6/5/2011,0.648333,4906
6/6/2011,0.678333,4548
6/7/2011,0.7075,4833
6/8/2011,0.775833,4401
6/9/2011,0.808333,3915
6/10/2011,0.755,4586
6/11/2011,0.725,4966
6/12/2011,0.6925,4460
6/13/2011,0.635,5020
6/14/2011,0.604167,4891
6/15/2011,0.626667,5180
6/16/2011,0.628333,3767
6/17/2011,0.649167,4844
6/18/2011,0.696667,5119
6/19/2011,0.699167,4744
6/20/2011,0.635,4010
6/21/2011,0.680833,4835
6/22/2011,0.733333,4507
6/23/2011,0.728333,4790
6/24/2011,0.724167,4991
6/25/2011,0.695,5202
6/26/2011,0.68,5305
6/27/2011,0.6825,4708
6/28/2011,0.744167,4648
6/29/2011,0.728333,5225
6/30/2011,0.696667,5515
7/1/2011,0.7225,5362
7/2/2011,0.738333,5119
7/3/2011,0.716667,4649
7/4/2011,0.726667,6043
7/5/2011,0.746667,4665
7/6/2011,0.72,4629
7/7/2011,0.75,4592
7/8/2011,0.709167,4040
7/9/2011,0.733333,5336
7/10/2011,0.7475,4881
7/11/2011,0.7625,4086
7/12/2011,0.794167,4258
7/13/2011,0.746667,4342
7/14/2011,0.680833,5084
7/15/2011,0.663333,5538
7/16/2011,0.686667,5923
7/17/2011,0.719167,5302
7/18/2011,0.746667,4458
7/19/2011,0.776667,4541
7/20/2011,0.768333,4332
7/21/2011,0.815,3784
